ticker,status,current_price,entry,sl,tp,rr,atrs_from_entry,zone_lo,zone_hi,atr,short_float_pct,inst_own_pct,dollar_vol_30d,avg_vol_30d,weekly_bars,earnings_date,days_to_earnings,earnings_known,earnings_blackout,tradingview_url,finviz_url,reason
GTX,PASS,25.950000762939453,17.42469240921476,16.237446808219584,35.00577926635742,14.8082981671238,3.590372685558317,17.351736831272113,17.497647987157407,2.374491201990351,2.72,94.85,73279256.51943678,2823863.3666666667,262.0,2026-10-22,30.0,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:GTX,,PASS entry=17.42 SL=16.24 TP=35.01 R:R=14.81 zone=[17.35-17.50] short=2.72% $vol=$73.3M
FTI,PASS,70.81999969482422,40.51756041893378,37.91073028868064,75.69096374511719,13.49278685940606,5.812123874935385,40.23847198486328,40.79664885300429,5.213660260506288,3.29,99.59,208258012.4359131,2940666.6666666665,262.0,2026-10-29,37.0,True,False,https://www.tradingview.com/chart/?symbol=NYSE:FTI,,PASS entry=40.52 SL=37.91 TP=75.69 R:R=13.49 zone=[40.24-40.80] short=3.29% $vol=$208.3M
RPRX,PASS,58.52000045776367,45.90134591010749,44.3711147027534,63.959999084472656,11.801257932512236,4.123120247127575,45.82201766967773,45.98067415053724,3.060462414708165,2.85,85.11,175901432.41462848,3005834.433333333,262.0,2026-11-11,50.0,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:RPRX,,PASS entry=45.90 SL=44.37 TP=63.96 R:R=11.80 zone=[45.82-45.98] short=2.85% $vol=$175.9M
VIAV,PASS,36.400001525878906,10.46999979019165,7.318213939666748,44.650001525878906,10.844645974279908,4.113541174025012,10.4399995803833,10.5,6.303571701049805,3.95,98.35,163750240.7843689,4498632.8,262.0,2026-10-29,37.0,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:VIAV,,PASS entry=10.47 SL=7.32 TP=44.65 R:R=10.84 zone=[10.44-10.50] short=3.95% $vol=$163.8M
SNEX,PASS,69.27999877929688,57.73777770996094,54.10111068725586,93.76000213623048,9.905285306949818,1.5915602790060837,57.25333404541016,58.22222137451172,7.252141952514648,3.83,84.01,59401864.87868144,857417.2333333333,262.0,2026-11-30,69.0,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:SNEX,,PASS entry=57.74 SL=54.10 TP=93.76 R:R=9.91 zone=[57.25-58.22] short=3.83% $vol=$59.4M
TXN,PASS,271.4100036621094,180.5676381580629,169.2927432908253,288.07000732421875,9.534667101733662,4.02852383874616,180.47420853227015,180.6610677838556,22.54978973447513,2.35,92.06,1623661592.6249113,5982320.366666666,262.0,2026-10-27,35.0,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:TXN,,PASS entry=180.57 SL=169.29 TP=288.07 R:R=9.53 zone=[180.47-180.66] short=2.35% $vol=$1623.7M
ROST,PASS,232.50999450683597,192.4792350767896,184.9943125962721,255.75570326720648,8.453857518914715,3.006903772433037,191.2069091796875,193.7515609738917,13.312949951057268,2.74,96.37,600360390.908521,2582084.2333333334,262.0,2026-11-12,51.0,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:ROST,,PASS entry=192.48 SL=184.99 TP=255.76 R:R=8.45 zone=[191.21-193.75] short=2.74% $vol=$600.4M
STLD,PASS,233.9900054931641,135.69693642652598,119.0523654962888,262.7099914550781,7.630899922918131,5.207293513946279,133.47352600097656,137.9203468520754,18.87603777343981,2.85,86.0,270520618.746759,1156120.4,262.0,2026-10-19,27.0,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:STLD,,PASS entry=135.70 SL=119.05 TP=262.71 R:R=7.63 zone=[133.47-137.92] short=2.85% $vol=$270.5M
NTRS,PASS,173.39999389648438,150.10715505550593,144.57520863497314,190.51141357421875,7.303805107140106,2.750049400453074,149.8953399658203,150.3189701451915,8.469971062025621,2.08,87.0,174752531.18887633,1007800.1,262.0,2026-10-21,29.0,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:NTRS,,PASS entry=150.11 SL=144.58 TP=190.51 R:R=7.30 zone=[149.90-150.32] short=2.08% $vol=$174.8M
ARMK,PASS,56.59000015258789,41.79420801158478,38.92229857294721,62.26625061035156,7.128373312662228,5.151900663003572,41.66974639892578,41.918669624243776,2.871909438637569,3.38,100.04,140388413.90220657,2480798.966666667,262.0,2026-11-17,56.0,True,False,https://www.tradingview.com/chart/?symbol=NYSE:ARMK,,PASS entry=41.79 SL=38.92 TP=62.27 R:R=7.13 zone=[41.67-41.92] short=3.38% $vol=$140.4M
CSX,PASS,46.59000015258789,42.48311009595534,41.16432207386231,51.858033041478826,7.108741350747689,1.8536105987949336,42.44334030151367,42.522879890397,2.2156164079459386,2.22,82.08,465462491.917446,9990609.366666667,262.0,2026-10-15,23.0,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:CSX,,PASS entry=42.48 SL=41.16 TP=51.86 R:R=7.11 zone=[42.44-42.52] short=2.22% $vol=$465.5M
KLIC,PASS,89.54000091552734,74.00547873768456,66.76492570767999,124.89730834960938,7.028721342282987,1.0727441753045908,71.08734893798828,76.92360853738083,14.481106060009116,4.08,93.46,64938094.72731145,725241.1666666666,262.0,2026-11-18,57.0,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:KLIC,,PASS entry=74.01 SL=66.76 TP=124.90 R:R=7.03 zone=[71.09-76.92] short=4.08% $vol=$64.9M
