ticker,status,current_price,entry,sl,tp,rr,atrs_from_entry,zone_lo,zone_hi,atr,short_float_pct,inst_own_pct,dollar_vol_30d,avg_vol_30d,weekly_bars,earnings_date,days_to_earnings,earnings_known,earnings_blackout,tradingview_url,finviz_url,reason
GTX,PASS,25.5,17.42469240921476,16.214946838192205,35.00577926635742,14.53287970484735,3.3376057677811857,17.351736831272113,17.497647987157407,2.419491142045108,2.72,94.82,71769757.64999999,2814500.3,262.0,2026-10-22,29.0,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:GTX,,PASS entry=17.42 SL=16.21 TP=35.01 R:R=14.53 zone=[17.35-17.50] short=2.72% $vol=$71.8M
FTI,PASS,71.23999786376953,40.51756041893378,37.90465865302564,75.69096374511719,13.4614334856016,5.878988227894186,40.23847198486328,40.79664885300429,5.225803531816276,3.29,99.59,207571497.34367985,2913693.2,262.0,2026-10-29,36.0,True,False,https://www.tradingview.com/chart/?symbol=NYSE:FTI,,PASS entry=40.52 SL=37.90 TP=75.69 R:R=13.46 zone=[40.24-40.80] short=3.29% $vol=$207.6M
RPRX,PASS,57.650001525878906,45.90134591010749,44.364686120425695,63.959999084472656,11.751887630315824,3.8227900849166905,45.82201766967773,45.98067415053724,3.0733195793635777,2.85,85.12,173620768.11039048,3011635.1,262.0,2026-11-11,49.0,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:RPRX,,PASS entry=45.90 SL=44.36 TP=63.96 R:R=11.75 zone=[45.82-45.98] short=2.85% $vol=$173.6M
VIAV,PASS,36.43000030517578,10.46999979019165,7.2766067641122,44.650001525878906,10.703349527148642,4.064642263413376,10.4399995803833,10.5,6.386786052158901,3.95,98.35,168160589.96868896,4615992.0,262.0,2026-10-29,36.0,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:VIAV,,PASS entry=10.47 SL=7.28 TP=44.65 R:R=10.70 zone=[10.44-10.50] short=3.95% $vol=$168.2M
SNEX,PASS,67.77999877929688,57.73777770996094,54.10111068725586,93.76000213623048,9.905285306949818,1.3847248351025232,57.25333404541016,58.22222137451172,7.252141952514648,3.82,84.0,58391488.39771525,861485.5333333333,262.0,2026-11-30,68.0,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:SNEX,,PASS entry=57.74 SL=54.10 TP=93.76 R:R=9.91 zone=[57.25-58.22] short=3.82% $vol=$58.4M
ROST,PASS,233.97999572753903,192.4792350767896,184.9943125962721,255.75570326720648,8.453857518914715,3.091941011548676,191.2069091796875,193.7515609738917,13.422235578149904,2.73,96.37,597831149.6356384,2555052.4,262.0,2026-11-12,50.0,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:ROST,,PASS entry=192.48 SL=184.99 TP=255.76 R:R=8.45 zone=[191.21-193.75] short=2.73% $vol=$597.8M
STLD,PASS,234.2899932861328,135.69693642652598,119.0523654962888,262.7099914550781,7.630899922918131,5.192728878562831,133.47352600097656,137.9203468520754,18.986752277136794,2.85,86.0,268768038.41112214,1147159.7,262.0,2026-10-19,26.0,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:STLD,,PASS entry=135.70 SL=119.05 TP=262.71 R:R=7.63 zone=[133.47-137.92] short=2.85% $vol=$268.8M
NTRS,PASS,173.99000549316406,150.10715505550593,144.57520863497314,190.51141357421875,7.303805107140106,2.804571750207557,149.8953399658203,150.3189701451915,8.515685304143366,2.08,87.0,173105788.2852478,994918.0,262.0,2026-10-21,28.0,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:NTRS,,PASS entry=150.11 SL=144.58 TP=190.51 R:R=7.30 zone=[149.90-150.32] short=2.08% $vol=$173.1M
CSX,PASS,47.18999862670898,42.48311009595534,41.16432207386231,51.858033041478826,7.108741350747689,2.1169077710700632,42.44334030151367,42.522879890397,2.2234735943996218,2.22,82.08,474420784.7597313,10053418.066666666,262.0,2026-10-21,28.0,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:CSX,,PASS entry=42.48 SL=41.16 TP=51.86 R:R=7.11 zone=[42.44-42.52] short=2.22% $vol=$474.4M
ARMK,PASS,55.77000045776367,41.79420801158478,38.86586993612383,62.26625061035156,6.991010624872704,4.772602099222768,41.66974639892578,41.918669624243776,2.928338075460951,3.38,100.01,132326422.5991436,2372716.9,262.0,2026-11-17,55.0,True,False,https://www.tradingview.com/chart/?symbol=NYSE:ARMK,,PASS entry=41.79 SL=38.87 TP=62.27 R:R=6.99 zone=[41.67-41.92] short=3.38% $vol=$132.3M
