ticker,status,current_price,entry,sl,tp,rr,zone_lo,zone_hi,atr,short_float_pct,inst_own_pct,dollar_vol_30d,avg_vol_30d,weekly_bars,days_to_earnings,earnings_known,earnings_blackout,tradingview_url,reason
NTRS,PASS,177.88999938964844,167.03276573484732,158.6312279791835,190.51141357421875,2.7945655333803083,162.4854278564453,171.5801036132493,8.401537755663824,2.08,87.0,181789010.1852707,1021918.1,261,33,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:NTRS,PASS entry=167.03 SL=158.63 TP=190.51 R:R=2.79 zone=[162.49-171.58] short=2.08% $vol=$181.8M
ASB,PASS,29.65999984741211,28.31776150362294,26.966926772140425,32.076515197753906,2.7825414956615813,28.081697463989258,28.553825543256618,1.3508347314825147,4.19,80.99,54874352.28636182,1850113.0333333334,261,34,True,False,https://www.tradingview.com/chart/?symbol=NYSE:ASB,PASS entry=28.32 SL=26.97 TP=32.08 R:R=2.78 zone=[28.08-28.55] short=4.19% $vol=$54.9M
VMI,PASS,474.6400146484375,479.8925678325828,446.52186764978705,572.2938300423056,2.7689338762319453,473.7874450683594,485.9976905968062,33.37070018279578,2.42,96.82,77250067.2267741,162755.06666666668,261,32,True,False,https://www.tradingview.com/chart/?symbol=NYSE:VMI,PASS entry=479.89 SL=446.52 TP=572.29 R:R=2.77 zone=[473.79-486.00] short=2.42% $vol=$77.3M
ZION,PASS,65.2300033569336,62.969952324516065,59.624261420840405,72.19999694824219,2.7587858201681943,62.067916205197996,63.871988443834134,3.345690903675662,3.82,84.45,89873048.46080601,1377786.9666666666,261,31,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:ZION,PASS entry=62.97 SL=59.62 TP=72.20 R:R=2.76 zone=[62.07-63.87] short=3.82% $vol=$89.9M
CFG,PASS,67.04000091552734,64.54359102507537,60.958727581269,74.4000015258789,2.749452149378974,63.14283330868187,65.94434874146887,3.5848634438063667,3.47,100.05,215396593.29354933,3212956.3,261,28,True,False,https://www.tradingview.com/chart/?symbol=NYSE:CFG,PASS entry=64.54 SL=60.96 TP=74.40 R:R=2.75 zone=[63.14-65.94] short=3.47% $vol=$215.4M
AIT,PASS,321.8399963378906,312.0337795169272,293.8168423953821,361.95001220703125,2.7401001802365683,307.9312744140625,316.13628461979187,18.21693712154515,2.03,97.3,96381380.79130858,299469.86666666664,261,39,True,False,https://www.tradingview.com/chart/?symbol=NYSE:AIT,PASS entry=312.03 SL=293.82 TP=361.95 R:R=2.74 zone=[307.93-316.14] short=2.03% $vol=$96.4M
WSM,PASS,224.1999969482422,202.51880806283796,185.48171030240442,249.05999755859375,2.7317557338810188,196.99224953391004,208.04536659176588,17.03709776043355,4.72,97.84,263552260.48592177,1175523.0333333334,261,61,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:WSM,PASS entry=202.52 SL=185.48 TP=249.06 R:R=2.73 zone=[196.99-208.05] short=4.72% $vol=$263.6M
FITB,PASS,52.90999984741211,50.521564406303035,47.74867270205541,58.08000183105469,2.7258321748279366,49.54846755859918,51.49466125400689,2.772891704247628,3.42,93.53,270138083.579945,5105614.9,261,31,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:FITB,PASS entry=50.52 SL=47.75 TP=58.08 R:R=2.73 zone=[49.55-51.49] short=3.42% $vol=$270.1M
SPG,PASS,205.32000732421875,202.38852344158445,193.1548187100364,227.22118897433506,2.689350185511875,200.94502316057836,203.83202372259055,9.463842344960726,2.97,96.69,260719917.09245604,1269822.2666666666,261,45,True,False,https://www.tradingview.com/chart/?symbol=NYSE:SPG,PASS entry=202.39 SL=193.15 TP=227.22 R:R=2.69 zone=[200.95-203.83] short=2.97% $vol=$260.7M
CSX,PASS,47.099998474121094,45.714331789825486,43.428523639719934,51.858033041478826,2.6877589229741967,45.14762496948242,46.28103861016855,2.2858081501055523,2.22,82.08,453630624.71391886,9631223.766666668,261,34,True,False,https://www.tradingview.com/chart/?symbol=NASDAQ:CSX,PASS entry=45.71 SL=43.43 TP=51.86 R:R=2.69 zone=[45.15-46.28] short=2.22% $vol=$453.6M
